sira,kategori,urun_adi,slug,detay_sayfa,detay_tam_link,kategori_liste,onerilen_kart_dosyasi,onerilen_kart_yolu,mevcut_katalog_gorseli,yeni_gorsel_notu
1,Kesici - Taşlama - Flap Disk,Metal / Inox Kesme Taşı,metal-inox-kesme-tasi,urun/metal-inox-kesme-tasi.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/metal-inox-kesme-tasi.html,urunler.html?kategori=kesici-taslama-flap-disk,metal-inox-kesme-tasi-kart.png,assets/images/products/metal-inox-kesme-tasi/metal-inox-kesme-tasi-kart.png,assets/images/products/metal-inox-kesme-tasi/metal-inox-kesme-tasi-genel.png,
2,Kesici - Taşlama - Flap Disk,355mm Metal Sabit Tezgah Kesme Diski,355mm-metal-sabit-tezgah-kesme-diski,urun/355mm-metal-sabit-tezgah-kesme-diski.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/355mm-metal-sabit-tezgah-kesme-diski.html,urunler.html?kategori=kesici-taslama-flap-disk,355mm-metal-sabit-tezgah-kesme-diski-kart.png,assets/images/products/355mm-metal-sabit-tezgah-kesme-diski/355mm-metal-sabit-tezgah-kesme-diski-kart.png,assets/images/products/355mm-metal-sabit-tezgah-kesme-diski/355mm-metal-sabit-tezgah-kesme-diski-ana.png,
3,Kesici - Taşlama - Flap Disk,Metal / Inox Taşlama Diski,metal-inox-taslama-diski,urun/metal-inox-taslama-diski.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/metal-inox-taslama-diski.html,urunler.html?kategori=kesici-taslama-flap-disk,metal-inox-taslama-diski-kart.png,assets/images/products/metal-inox-taslama-diski/metal-inox-taslama-diski-kart.png,assets/images/products/metal-inox-taslama-diski/metal-inox-taslama-diski-genel.png,
4,Kesici - Taşlama - Flap Disk,ZR Zirkon Flap Disk,zr-zirkon-flap-disk,urun/zr-zirkon-flap-disk.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/zr-zirkon-flap-disk.html,urunler.html?kategori=kesici-taslama-flap-disk,zr-zirkon-flap-disk-kart.png,assets/images/products/zr-zirkon-flap-disk/zr-zirkon-flap-disk-kart.png,assets/images/products/zr-zirkon-flap-disk/zr-zirkon-flap-disk-genel.png,
5,Kesici - Taşlama - Flap Disk,AO Alüminyum Oksit Flap Disk,ao-aluminyum-oksit-flap-disk,urun/ao-aluminyum-oksit-flap-disk.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/ao-aluminyum-oksit-flap-disk.html,urunler.html?kategori=kesici-taslama-flap-disk,ao-aluminyum-oksit-flap-disk-kart.png,assets/images/products/ao-aluminyum-oksit-flap-disk/ao-aluminyum-oksit-flap-disk-kart.png,assets/images/products/ao-aluminyum-oksit-flap-disk/ao-aluminyum-oksit-flap-disk-genel.png,
6,Elmas Kesici,Segmentli Standart Elmas Kesici,segmentli-standart-elmas-kesici,urun/segmentli-standart-elmas-kesici.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/segmentli-standart-elmas-kesici.html,urunler.html?kategori=elmas-kesici,segmentli-standart-elmas-kesici-kart.png,assets/images/products/segmentli-standart-elmas-kesici/segmentli-standart-elmas-kesici-kart.png,assets/images/products/segmentli-standart-elmas-kesici/segmentli-standart-elmas-kesici-125.png,
7,Elmas Kesici,Ultra İnce Elmas Disk,ultra-ince-elmas-disk,urun/ultra-ince-elmas-disk.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/ultra-ince-elmas-disk.html,urunler.html?kategori=elmas-kesici,ultra-ince-elmas-disk-kart.png,assets/images/products/ultra-ince-elmas-disk/ultra-ince-elmas-disk-kart.png,assets/images/products/ultra-ince-elmas-disk/ultra-ince-elmas-disk-125.png,
8,Elmas Kesici,Granit ve Mermer Segmentli Taşlama Diski,granit-ve-mermer-segmentli-taslama-diski,urun/granit-ve-mermer-segmentli-taslama-diski.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/granit-ve-mermer-segmentli-taslama-diski.html,urunler.html?kategori=elmas-kesici,granit-ve-mermer-segmentli-taslama-diski-kart.png,assets/images/products/granit-ve-mermer-segmentli-taslama-diski/granit-ve-mermer-segmentli-taslama-diski-kart.png,assets/images/products/granit-ve-mermer-segmentli-taslama-diski/granit-ve-mermer-segmentli-taslama-diski-125.png,
9,Elmas Kesici,Asfalt İçin Elmas Kesme Diski,asfalt-icin-elmas-kesme-diski,urun/asfalt-icin-elmas-kesme-diski.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/asfalt-icin-elmas-kesme-diski.html,urunler.html?kategori=elmas-kesici,asfalt-icin-elmas-kesme-diski-kart.png,assets/images/products/asfalt-icin-elmas-kesme-diski/asfalt-icin-elmas-kesme-diski-kart.png,assets/images/products/asfalt-icin-elmas-kesme-diski/asfalt-icin-elmas-kesme-diski-350.png,
10,Elmas Kesici,Güçlendirilmiş Beton İçin Elmas Kesme Diski,guclendirilmis-beton-icin-elmas-kesme-diski,urun/guclendirilmis-beton-icin-elmas-kesme-diski.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/guclendirilmis-beton-icin-elmas-kesme-diski.html,urunler.html?kategori=elmas-kesici,guclendirilmis-beton-icin-elmas-kesme-diski-kart.png,assets/images/products/guclendirilmis-beton-icin-elmas-kesme-diski/guclendirilmis-beton-icin-elmas-kesme-diski-kart.png,assets/images/products/guclendirilmis-beton-icin-elmas-kesme-diski/guclendirilmis-beton-icin-elmas-kesme-diski-400.png,
11,Kırıcı & Delici,SDS MAX Burç Aleti (Taraklı Murç),sds-max-burc-aleti-tarakli-murc,urun/sds-max-burc-aleti-tarakli-murc.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/sds-max-burc-aleti-tarakli-murc.html,urunler.html?kategori=uclar,sds-max-burc-aleti-tarakli-murc-kart.png,assets/images/products/sds-max-burc-aleti-tarakli-murc/sds-max-burc-aleti-tarakli-murc-kart.png,assets/images/products/sds-max-burc-aleti-tarakli-murc/sds-max-burc-aleti-tarakli-murc-ana.png,
12,Kırıcı & Delici,HSS Matkap Ucu,hss-matkap-ucu,urun/hss-matkap-ucu.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/hss-matkap-ucu.html,urunler.html?kategori=uclar,hss-matkap-ucu-kart.png,assets/images/products/hss-matkap-ucu/hss-matkap-ucu-kart.png,assets/images/products/hss-matkap-ucu/hss-matkap-ucu-ana.png,
13,Kırıcı & Delici,SDS Plus 4 Kesicili Beton Matkap Ucu (Quadro),sds-plus-4-kesicili-beton-matkap-ucu-quadro,urun/sds-plus-4-kesicili-beton-matkap-ucu-quadro.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/sds-plus-4-kesicili-beton-matkap-ucu-quadro.html,urunler.html?kategori=uclar,sds-plus-4-kesicili-beton-matkap-ucu-quadro-kart.png,assets/images/products/sds-plus-4-kesicili-beton-matkap-ucu-quadro/sds-plus-4-kesicili-beton-matkap-ucu-quadro-kart.png,assets/images/products/sds-plus-4-kesicili-beton-matkap-ucu-quadro/sds-plus-4-kesicili-beton-matkap-ucu-quadro-ana.png,
14,Kırıcı & Delici,Mıknatıslı Anahtar Ucu (Manyetik Somun Adaptörü),miknatisli-anahtar-ucu-manyetik-somun-adaptoru,urun/miknatisli-anahtar-ucu-manyetik-somun-adaptoru.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/miknatisli-anahtar-ucu-manyetik-somun-adaptoru.html,urunler.html?kategori=uclar,miknatisli-anahtar-ucu-manyetik-somun-adaptoru-kart.png,assets/images/products/miknatisli-anahtar-ucu-manyetik-somun-adaptoru/miknatisli-anahtar-ucu-manyetik-somun-adaptoru-kart.png,assets/images/products/miknatisli-anahtar-ucu-manyetik-somun-adaptoru/miknatisli-anahtar-ucu-manyetik-somun-adaptoru-ana.png,
15,Kırıcı & Delici,PH2 Manyetik Bits Uç,ph2-manyetik-bits-uc,urun/ph2-manyetik-bits-uc.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/ph2-manyetik-bits-uc.html,urunler.html?kategori=uclar,ph2-manyetik-bits-uc-kart.png,assets/images/products/ph2-manyetik-bits-uc/ph2-manyetik-bits-uc-kart.png,assets/images/products/ph2-manyetik-bits-uc/ph2-manyetik-bits-uc-ana.png,
16,Kırıcı & Delici,Düz Keski SDS Plus,duz-keski-sds-plus,urun/duz-keski-sds-plus.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/duz-keski-sds-plus.html,urunler.html?kategori=uclar,duz-keski-sds-plus-kart.png,assets/images/products/duz-keski-sds-plus/duz-keski-sds-plus-kart.png,assets/images/products/duz-keski-sds-plus/duz-keski-sds-plus-ana.png,
17,Kırıcı & Delici,Düz Keski SDS Max,duz-keski-sds-max,urun/duz-keski-sds-max.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/duz-keski-sds-max.html,urunler.html?kategori=uclar,duz-keski-sds-max-kart.png,assets/images/products/duz-keski-sds-max/duz-keski-sds-max-kart.png,assets/images/products/duz-keski-sds-max/duz-keski-sds-max-ana.png,
18,Kırıcı & Delici,Sivri Uçlu Keski / Murç (SDS Plus),sivri-uclu-keski-murc-sds-plus,urun/sivri-uclu-keski-murc-sds-plus.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/sivri-uclu-keski-murc-sds-plus.html,urunler.html?kategori=uclar,sivri-uclu-keski-murc-sds-plus-kart.png,assets/images/products/sivri-uclu-keski-murc-sds-plus/sivri-uclu-keski-murc-sds-plus-kart.png,assets/images/products/sivri-uclu-keski-murc-sds-plus/sivri-uclu-keski-murc-sds-plus-ana.png,
19,Kırıcı & Delici,Sivri Uçlu Keski / Murç (SDS Max),sivri-uclu-keski-murc-sds-max,urun/sivri-uclu-keski-murc-sds-max.html,file:///C:/Users/mosta/Desktop/abralion-cursor/urun/sivri-uclu-keski-murc-sds-max.html,urunler.html?kategori=uclar,sivri-uclu-keski-murc-sds-max-kart.png,assets/images/products/sivri-uclu-keski-murc-sds-max/sivri-uclu-keski-murc-sds-max-kart.png,assets/images/products/sivri-uclu-keski-murc-sds-max/sivri-uclu-keski-murc-sds-max-ana.png,
